map_file=random-64-64-20.map
agents=1500
seed=0
random_problem=0
max_timestep=2000
max_comp_time=300000
56,58,8,61
31,40,56,60
48,11,37,20
24,48,25,56
13,2,2,16
63,9,63,10
42,18,33,3
46,42,10,62
49,10,4,48
62,46,54,22
19,53,15,24
15,49,51,55
58,35,32,44
21,29,12,31
61,15,3,52
26,27,54,5
12,11,62,60
7,53,29,49
34,61,59,34
53,56,55,63
33,32,15,49
48,26,35,25
51,62,5,10
42,54,53,38
23,60,23,34
52,20,17,49
32,21,7,6
28,8,8,46
36,45,29,4
9,9,4,43
59,47,7,44
0,41,25,34
31,55,61,30
34,60,15,48
51,58,48,25
11,49,53,16
41,52,28,20
53,40,1,48
3,53,14,28
26,44,46,24
57,58,38,41
21,13,31,46
20,45,31,44
42,15,13,10
46,28,4,0
16,45,34,54
36,37,41,15
24,36,16,16
13,26,7,55
5,59,45,44
11,35,2,24
18,37,15,63
60,1,27,13
0,42,10,34
43,34,16,10
3,15,42,3
42,24,53,41
22,2,29,55
35,46,61,2
23,21,6,20
23,49,51,14
2,34,51,30
26,14,0,3
34,45,19,25
6,27,47,44
17,51,4,62
28,41,17,57
24,8,49,47
34,14,52,35
30,63,47,17
53,55,41,23
54,17,32,3
7,34,53,24
19,63,48,53
30,49,36,23
62,38,28,14
43,27,8,57
50,34,18,46
41,0,16,56
52,32,23,35
57,40,3,1
60,48,11,8
57,39,32,1
44,9,23,51
8,27,13,27
39,41,22,35
22,31,57,17
57,16,28,52
30,2,13,46
52,35,62,55
56,12,25,45
4,39,14,32
47,46,49,7
2,59,38,29
45,49,62,20
43,16,50,8
42,40,43,40
19,40,51,44
33,10,55,44
0,56,52,28
22,3,13,60
63,55,41,13
26,31,14,13
35,5,28,21
40,14,60,51
25,18,50,9
1,26,60,62
62,7,41,5
13,20,11,26
27,47,43,41
62,27,34,48
35,15,53,32
55,57,46,54
18,30,30,48
12,2,43,3
25,4,27,6
62,50,32,12
39,58,29,33
21,7,21,21
28,33,44,23
41,43,62,48
51,24,58,14
17,5,6,16
49,21,9,15
61,33,58,32
38,38,62,30
33,36,46,36
20,37,60,59
2,15,57,58
38,62,55,61
13,14,0,49
46,49,30,39
32,15,35,18
40,12,54,8
14,60,16,1
26,17,12,7
52,9,42,2
21,1,52,52
48,61,62,45
52,54,51,48
25,17,36,42
45,38,54,55
51,30,33,15
25,48,48,60
37,47,61,48
57,26,27,59
34,17,48,52
7,37,60,32
54,30,49,56
22,56,28,12
57,11,10,20
12,13,33,21
27,18,45,48
32,24,1,4
46,52,17,5
0,48,37,37
1,4,45,57
56,4,17,59
57,62,45,28
16,7,44,63
28,10,17,44
56,48,38,51
5,60,0,6
40,47,39,55
33,47,62,57
34,13,25,58
23,47,24,5
2,13,26,57
46,12,17,2
5,37,28,63
33,63,55,45
26,29,62,19
37,23,23,26
7,46,41,6
51,48,1,15
